Content,Video title,Video publish time,Duration,Impressions,Impressions click-through rate (%),Views,Average view duration,Average percentage viewed (%),Hypes
9OPgoerxfHg,The Hidden Debt Behind Every Line of AI Code,"Jun 28, 2026",438,151,3.31,11,0:02:58,40.65,0
kIkpPmujuPA,Case study: TEDx und G-Core Labs,"May 14, 2021",196,140,0.71,2,0:00:08,4.37,0
jkW509LsZaA,Did Open AI Just Kill Shopping? Plus SORA 2 breakdown,"Oct 7, 2025",760,138,3.62,6,0:00:51,6.83,0
gtGNWJaT95o,Case study: Clean Traffic und G-Core Labs,"Jun 24, 2021",164,138,0.72,1,0:00:18,11.47,0
fGK1OFacP40,Case study: Aggregion und G-Core Labs,"Dec 10, 2020",175,134,2.24,3,0:00:18,10.44,0
j8y-9W3JtOk,G-Stream | MEDIA PLATFORM by G-Core Labs,"Mar 5, 2018",132,49,8.16,16,0:00:34,26.13,0
F4LRRsiRk-U,API and Web Application Security on the Edge for FinTech,,2875,26,7.69,2,0:23:30,49.05,0
3nkGBoHDuNw,Gcore - Virtual Machines Black Friday Sale,,22,1,0,,,,
0kQPJb4xR1c,Gcore - Bare Metal Black Friday Sale,,18,1,0,,,,
RzrDQWEQzGw,Gcore - DDoS Protection Black Friday Sale,,21,1,0,,,,
D0h4Z54aa5Y,Gcore - Video Streaming Black Friday Sale,,21,1,0,,,,
yXc-XmiJKeA,Gcore - Managed Kubernetes Black Friday Sale,,19,1,0,,,,
nC-E2fEGOUs,G-Core Labs #6th Anniversary,,215,1,0,,,,
_Tl_6S1u7ew,Gcore - CDN Black Friday Sale,,19,1,0,,,,
5CCm4uBXr3Y,2. Anycast is non-negotiable,,36,0,,8,0:00:12,34.04,0
JvhOS0A9VbE,1,,15,0,,2,0:00:12,81.87,0
HVPpbFLGYu0,"1. DDoS is a capacity war, not a traffic spike",,41,0,,31,0:00:13,32.2,0
rC8vm70EvH8,How to WAAP Quickstart,,703,0,,20,0:00:31,4.41,0
UZoNP4QFd1c,5. The future of gaming is AI at scale,,35,0,,2,0:00:30,88.27,0
91TqAm4EKfY,3. Why always-on cloud defense beats on-demand protection,,29,0,,7,0:00:14,48.82,0
jN90bg5wovU,Black Friday 2022 Promo,,34,0,,,,,
EZUdzlpyyDU,Dashboard setup: EN,,159,0,,38,0:00:53,33.67,0
PuOGsyfOJPg,1_Location is everything: edge over cloud,,21,0,,7,0:00:16,77.65,0
T5CNq-MULMo,A developer’s guide to Gcore MCP,,337,0,,17,0:01:23,24.79,0
uCMz77dqpiM,2_Edge AI also keeps costs down,,27,0,,9,0:00:13,49.15,0
7QlHCMNguII,1. Rising costs are threatening game development,,27,0,,3,0:00:10,39.47,0
mH5NUqmn_XI,"3. The challenge of secure, scalable AI adoption",,21,0,,2,0:00:01,7.76,0
lchDmwmGwnM,4. Gcore Everywhere Inference reduces compute costs,,41,0,,1,0:00:11,27.9,0
g7iAGRgAO2Q,3_ Private Edge: control over convenience,,20,0,,1,0:00:07,36.44,0
SOPt3qhVO5M,"2. AI is revolutionizing GameDev, even without a perfect use case",,51,0,,3,0:00:02,4.84,0
1slAW6QoNZ4,4_Private edge deployments,,21,0,,1,0:00:08,39.14,0
GKq7Z3I_IOo,How to protect login pages with Gcore WAAP walkthrough,,194,0,,19,0:00:50,26.13,0
